forecast_step,prediction,lower_80,upper_80
1,0.5646125,0.53424066,0.59260404
2,0.5652081,0.5309254,0.6008949
3,0.56733537,0.52642405,0.60720783
4,0.5701865,0.5281061,0.6134274
5,0.5698818,0.526353,0.6178585
6,0.5704926,0.52461284,0.61998355
7,0.5731071,0.5246881,0.6231915
8,0.57054555,0.5163878,0.62174577
9,0.5714133,0.5159756,0.62347764
10,0.5726632,0.5132123,0.6259091
11,0.57008934,0.5126208,0.62667406
12,0.57035154,0.50754213,0.62997144
13,0.57274926,0.5113671,0.63392246
14,0.57218015,0.5053692,0.63512635
15,0.5741409,0.50733346,0.6391883
16,0.57338357,0.5028864,0.6397401
17,0.57411283,0.4998923,0.6438
18,0.57262427,0.49975517,0.64428645
19,0.57334876,0.49507487,0.653571
20,0.5738433,0.49210408,0.65608275
21,0.57483184,0.49048287,0.65595126
22,0.57344663,0.48636854,0.656482
23,0.5735004,0.48564684,0.6567919
24,0.5716699,0.48222333,0.6555275
